Titulo,Comuna,Precio_CLP,Area_m2,Dormitorios,Baños,Estacionamientos,Precio_por_m2,Tamaño
ARRIENDOEXCELENTEDEPARTAMENTOAPASOSDELMETROÑUÑOA,Ñuñoa,1300000.0,121.0,4.0,3.0,2,10744.0,Premium (100m2+)
Nuevodepartamentode2Dormitorios,La Cisterna,,,2.0,2.0,1,,Sin dato
"ArriendoDepto2d1bEstac,Bod.EnMetroDepartamental,SanMiguel.",San Miguel,,48.0,2.0,1.0,1,,Pequeño (35-54m2)
SantaPetronila/Ecuador/MetroLasRejas,Estación Central,230000.0,30.0,1.0,1.0,1,7667.0,Studio / Mini (<35m2)
¡OPORTUNIDAD!ArturoPrat/EleuterioRamírez-metroUniversidadDeChile(SEMINUEVO),Santiago,295000.0,35.0,1.0,1.0,0,8429.0,Pequeño (35-54m2)
"Arriendo,DEPARTAMENTO,EstaciónCentral.2D/1B",Estación Central,,40.0,2.0,1.0,0,,Pequeño (35-54m2)
"DepartamentoMoneda1617,SantiagoCentro",Santiago,,35.0,1.0,1.0,0,,Pequeño (35-54m2)
Dorsal1395comodo3dormitoriostorreF,Santiago,,,3.0,2.0,1,,Sin dato
ArriendoDepto.1D/1B-Santiago,Santiago,,32.0,1.0,1.0,0,,Studio / Mini (<35m2)
ArriendoMetroSanAlbertoHurtado2D2B1E(98273),Estación Central,,,2.0,2.0,1,,Sin dato
1dormitorioconinstalaciondelavadora.comunaSantiago,Santiago,295000.0,39.0,1.0,1.0,0,7564.0,Pequeño (35-54m2)
"ArriendoStudio+estacionamiento$200.000,SantoDomingo2246,Santiago",Santiago,,25.0,,1.0,1,,Studio / Mini (<35m2)
SantaPetronila/Ecuador/MetroLasRejas,Estación Central,230000.0,30.0,1.0,1.0,1,7667.0,Studio / Mini (<35m2)
ArriendoDepto.3D/1B-SanMiguel,San Miguel,,50.0,3.0,1.0,0,,Pequeño (35-54m2)
"Arriendo,DEPARTAMENTO,EstaciónCentral.2D/1B",Estación Central,,40.0,2.0,1.0,0,,Pequeño (35-54m2)
VIVEENPROVIDENCIADEPARTAMENTO2D2BCONTERRAZAYESTILO,Providencia,95000.0,60.0,2.0,2.0,2,1583.0,Mediano (55-74m2)
ARRIENDOCOMODODEPARTAMENTOENCONDOMINIO,Estación Central,,45.0,2.0,2.0,1,,Pequeño (35-54m2)
Nuevodepartamentode2Dormitorios,La Cisterna,,,2.0,2.0,1,,Sin dato
DepartamentoSEARRIENDADEPARTAMENTO,Estación Central,,37.0,1.0,1.0,0,,Pequeño (35-54m2)
ArriendoDepto.2D/1B+EstyBod-EstaciónCentral,Estación Central,,46.0,2.0,1.0,1,,Pequeño (35-54m2)
"DepartamentoMoneda1617,SantiagoCentro",Santiago,,35.0,1.0,1.0,0,,Pequeño (35-54m2)
ArriendoDpto.Estudio-Cerrillos,Cerrillos,,22.0,1.0,1.0,0,,Studio / Mini (<35m2)
DEPARTAMENTOEyzaguirreconSanFrancisco,Santiago,200000.0,30.0,1.0,1.0,0,6667.0,Studio / Mini (<35m2)
¡OPORTUNIDAD!ArturoPrat/EleuterioRamírez-metroUniversidadDeChile(SEMINUEVO),Santiago,295000.0,35.0,1.0,1.0,0,8429.0,Pequeño (35-54m2)
"DepartamentoRivas1050conEstacionamientoyBodega,SanMiguel",San Miguel,,56.0,2.0,2.0,1,,Mediano (55-74m2)
"Ampliodepartamentocon3D,2B,bodegayestacionamientoopcional,LaFlorida",La Florida,550000.0,78.0,3.0,2.0,1,7051.0,Grande (75-99m2)
ArriendoDepto.1D/1B,Estación Central,,33.0,1.0,1.0,0,,Studio / Mini (<35m2)
DepartamentoSEARRIENDALUMINOSODEPARTAMENTO,Independencia,,44.0,2.0,2.0,0,,Pequeño (35-54m2)
Depto1D/1BCarmenc/avMatta,Santiago,270000.0,30.0,1.0,1.0,0,9000.0,Studio / Mini (<35m2)
DepartamentoEstudio1DMetroLaCisterna,La Cisterna,,,1.0,1.0,0,,Sin dato
Depto2D+2B+ECercaaMetroParqueAlmagro,Santiago,,,2.0,2.0,1,,Sin dato
"SantaIsabel353,cercanoMetroSantaIsabel",Santiago,290000.0,,1.0,1.0,0,,Sin dato
DepartamentoenArriendoLaFlorida,La Florida,,,1.0,1.0,0,,Sin dato
ARRIENDOHERMOSODEPARTAMENTOSANTIAGOCENTRO,Santiago,680000.0,,3.0,2.0,1,,Sin dato
DepartamentoFrenteMetroÑubleCondominioAireMundo,Santiago,,38.0,2.0,1.0,0,,Pequeño (35-54m2)
Departamento1D-1BCONESTACIONAMIENTO,Santiago,250000.0,,1.0,1.0,1,,Sin dato
OFERTA2MESES170.000HOMESTUDIOECONOMICO+1B,Estación Central,190000.0,,1.0,1.0,0,,Sin dato
ARRIENDODepartamentoenQuintanormalMetroBlanqueado,Quinta Normal,400000.0,,3.0,1.0,0,,Sin dato
ARRIENDODPOTIPOMARIPOSA-METRODEPARTAMENTAL-SANMIGUEL,San Miguel,,,2.0,2.0,1,,Sin dato
DepartamentoFrenteMetroÑubleCondominioAireMundo,Santiago,,38.0,2.0,1.0,0,,Pequeño (35-54m2)
ArriendoDepartamentitipoStudiometroSantaAnaVALORREBAJADO2meses,Peñalolén,210000.0,,1.0,1.0,0,,Sin dato
